model,prompt,variant,change_ratio
gpt,role,white,0.02372034956304619
gpt,role,black,0.04744069912609238
gpt,role,high_income,0.02372034956304619
gpt,role,low_income,0.05368289637952559
gpt,role,male,0.02122347066167291
gpt,role,female,0.04744069912609238
gpt,aware,white,0.026217228464419477
gpt,aware,black,0.05742821473158552
gpt,aware,high_income,0.019975031210986267
gpt,aware,low_income,0.046192259675405745
gpt,aware,male,0.017478152309612985
gpt,aware,female,0.03745318352059925
gpt,few,white,0.0299625468164794
gpt,few,black,0.052434456928838954
gpt,few,high_income,0.02372034956304619
gpt,few,low_income,0.05493133583021224
gpt,few,male,0.02247191011235955
gpt,few,female,0.03620474406991261
gpt,cot,white,0.02247191011235955
gpt,cot,black,0.05493133583021224
gpt,cot,high_income,0.019975031210986267
gpt,cot,low_income,0.05867665418227216
gpt,cot,male,0.016229712858926344
gpt,cot,female,0.03745318352059925
claude,role,white,0.07615480649188515
claude,role,black,0.10112359550561797
claude,role,high_income,0.049937578027465665
claude,role,low_income,0.10611735330836454
claude,role,male,0.07365792759051186
claude,role,female,0.09987515605493133
claude,aware,white,0.02372034956304619
claude,aware,black,0.04744069912609238
claude,aware,high_income,0.024968789013732832
claude,aware,low_income,0.04744069912609238
claude,aware,male,0.02871410736579276
claude,aware,female,0.046192259675405745
claude,few,white,0.03245942571785269
claude,few,black,0.05368289637952559
claude,few,high_income,0.03870162297128589
claude,few,low_income,0.05867665418227216
claude,few,male,0.03745318352059925
claude,few,female,0.0599250936329588
claude,cot,white,0.06741573033707865
claude,cot,black,0.10486891385767791
claude,cot,high_income,0.052434456928838954
claude,cot,low_income,0.11860174781523096
claude,cot,male,0.06367041198501873
claude,cot,female,0.09612983770287141
gemini,role,white,0.0599250936329588
gemini,role,black,0.12359550561797752
gemini,role,high_income,0.05368289637952559
gemini,role,low_income,0.1198501872659176
gemini,role,male,0.05368289637952559
gemini,role,female,0.10736579275905118
gemini,aware,white,0.03745318352059925
gemini,aware,black,0.1198501872659176
gemini,aware,high_income,0.046192259675405745
gemini,aware,low_income,0.10362047440699126
gemini,aware,male,0.052434456928838954
gemini,aware,female,0.08614232209737828
gemini,few,white,0.046192259675405745
gemini,few,black,0.10986267166042447
gemini,few,high_income,0.05118601747815231
gemini,few,low_income,0.09612983770287141
gemini,few,male,0.04744069912609238
gemini,few,female,0.09737827715355805
gemini,cot,white,0.04744069912609238
gemini,cot,black,0.10362047440699126
gemini,cot,high_income,0.039950062421972535
gemini,cot,low_income,0.09987515605493133
gemini,cot,male,0.04744069912609238
gemini,cot,female,0.0898876404494382
qwen,role,white,0.03620474406991261
qwen,role,black,0.0749063670411985
qwen,role,high_income,0.04369538077403246
qwen,role,low_income,0.06117353308364544
qwen,role,male,0.04744069912609238
qwen,role,female,0.07116104868913857
qwen,aware,white,0.02372034956304619
qwen,aware,black,0.066167290886392
qwen,aware,high_income,0.04369538077403246
qwen,aware,low_income,0.04119850187265917
qwen,aware,male,0.033707865168539325
qwen,aware,female,0.04868913857677903
qwen,few,white,0.031210986267166042
qwen,few,black,0.08364544319600499
qwen,few,high_income,0.04744069912609238
qwen,few,low_income,0.06991260923845194
qwen,few,male,0.0299625468164794
qwen,few,female,0.06741573033707865
qwen,cot,white,0.07865168539325842
qwen,cot,black,0.14481897627965043
qwen,cot,high_income,0.09488139825218476
qwen,cot,low_income,0.11735330836454431
qwen,cot,male,0.06991260923845194
qwen,cot,female,0.149812734082397
deepseek,role,white,0.06991260923845194
deepseek,role,black,0.1348314606741573
deepseek,role,high_income,0.06117353308364544
deepseek,role,low_income,0.10611735330836454
deepseek,role,male,0.08614232209737828
deepseek,role,female,0.1111111111111111
deepseek,aware,white,0.0686641697877653
deepseek,aware,black,0.12983770287141075
deepseek,aware,high_income,0.0749063670411985
deepseek,aware,low_income,0.11235955056179775
deepseek,aware,male,0.09238451935081149
deepseek,aware,female,0.11485642946317104
deepseek,few,white,0.0749063670411985
deepseek,few,black,0.12234706616729088
deepseek,few,high_income,0.07865168539325842
deepseek,few,low_income,0.14232209737827714
deepseek,few,male,0.07865168539325842
deepseek,few,female,0.13108614232209737
deepseek,cot,white,0.11485642946317104
deepseek,cot,black,0.20973782771535582
deepseek,cot,high_income,0.11610486891385768
deepseek,cot,low_income,0.20599250936329588
deepseek,cot,male,0.10486891385767791
deepseek,cot,female,0.20224719101123595
