model,prompt,type,gap
claude,aware,race,0.09862671660424471
claude,aware,sex,0.05742821473158555
claude,aware,SES,0.08739076154806491
claude,cot,race,0.07865168539325851
claude,cot,sex,0.0674157303370787
claude,cot,SES,0.09363295880149813
claude,few,race,0.08614232209737827
claude,few,sex,0.05867665418227219
claude,few,SES,0.07490636704119846
claude,naive,race,0.10362047440699129
claude,naive,sex,0.08239700374531833
claude,naive,SES,0.09862671660424471
claude,role,race,0.09612983770287142
claude,role,sex,0.04993757802746568
claude,role,SES,0.069912609238452
deepseek,aware,race,0.19850187265917596
deepseek,aware,sex,0.16479400749063677
deepseek,aware,SES,0.16229712858926348
deepseek,cot,race,0.14481897627965035
deepseek,cot,sex,0.12234706616729085
deepseek,cot,SES,0.14107365792759052
deepseek,few,race,0.17228464419475653
deepseek,few,sex,0.16354556803995002
deepseek,few,SES,0.14232209737827717
deepseek,naive,race,0.18976279650436956
deepseek,naive,sex,0.18476903870162298
deepseek,naive,SES,0.18726591760299627
deepseek,role,race,0.21722846441947563
deepseek,role,sex,0.19475655430711603
deepseek,role,SES,0.18601747815230962
gemini,aware,race,0.09862671660424471
gemini,aware,sex,0.08863920099875156
gemini,aware,SES,0.07490636704119846
gemini,cot,race,0.1098626716604244
gemini,cot,sex,0.09612983770287142
gemini,cot,SES,0.10861423220973776
gemini,few,race,0.11860174781523092
gemini,few,sex,0.08239700374531833
gemini,few,SES,0.08614232209737827
gemini,naive,race,0.13358302122347065
gemini,naive,sex,0.0898876404494382
gemini,naive,SES,0.1123595505617977
gemini,role,race,0.11360799001248434
gemini,role,sex,0.08739076154806502
gemini,role,SES,0.09488139825218478
gpt,aware,race,0.04744069912609239
gpt,aware,sex,0.03620474406991259
gpt,aware,SES,0.03995006242197252
gpt,cot,race,0.05867665418227219
gpt,cot,sex,0.03620474406991259
gpt,cot,SES,0.04993757802746568
gpt,few,race,0.046192259675405745
gpt,few,sex,0.048689138576779034
gpt,few,SES,0.04993757802746568
gpt,naive,race,0.05368289637952561
gpt,naive,sex,0.041198501872659166
gpt,naive,SES,0.05742821473158555
gpt,role,race,0.046192259675405745
gpt,role,sex,0.04993757802746568
gpt,role,SES,0.04993757802746568
qwen,aware,race,0.1548064918851435
qwen,aware,sex,0.1348314606741573
qwen,aware,SES,0.15230961298377022
qwen,cot,race,0.132334581772784
qwen,cot,sex,0.10611735330836458
qwen,cot,SES,0.1148564294631711
qwen,few,race,0.16354556803995002
qwen,few,sex,0.12983770287141072
qwen,few,SES,0.14481897627965035
qwen,naive,race,0.18726591760299627
qwen,naive,sex,0.15355805243445686
qwen,naive,SES,0.1348314606741573
qwen,role,race,0.18976279650436945
qwen,role,sex,0.15855181023720344
qwen,role,SES,0.15355805243445686
